,part_of_speech,synonyms
0,adjective,"{'.22 caliber': 2.9787579099491868e-08, '.22 calibre': 5.667782221717738e-09, '.22-caliber': 1.0955112253506117e-08, '.22-calibre': 9.333119790881654e-10}"
1,adjective,"{'.38 caliber': 1.7103904037007744e-08, '.38 calibre': 2.5249200790742773e-09, '.38-caliber': 7.546846047856761e-09, '.38-calibre': 5.12179306074629e-10}"
2,adjective,"{'.45 caliber': 1.6923723918565155e-08, '.45-caliber': 8.883753963173214e-09, '.45-calibre': 5.914722989659925e-10, '.45 calibre': 2.7331624705656945e-09}"
3,satellite,"{'zero': 1.796766450966599e-05, '0': 0.00015892803291413484}"
4,satellite,"{'1': 0.0012839938595746612, 'ane': 3.4607929263579713e-06, 'one': 0.0019272784747307286, 'i': 0.00020667690126650808}"
5,satellite,"{'ten': 0.00013054307275004777, '10': 0.00032790795177158847, 'x': 6.0802853066341665e-05}"
6,satellite,"{'10-membered': 1.351280127182838e-09, 'ten-membered': 1.7842734494664575e-09}"
7,satellite,"{'hundred': 0.00018405849095035813, '100': 0.00012601680086184148, 'one hundred': 3.183011191841215e-05, 'c': 0.0003052012966932853}"
8,satellite,"{'101st': 2.347994288473482e-07, 'hundred-and-first': 2.6770288498486667e-09}"
9,satellite,"{'cv': 4.3891280738564496e-07, 'one hundred five': 1.5407101630654092e-08, '105': 1.903691950989522e-05}"
10,satellite,"{'105th': 1.636509056826179e-07, 'hundred-and-fifth': 5.694598908929569e-10}"
11,satellite,"{'10th': 1.7560761491308183e-05, 'tenth': 1.341940269701482e-05}"
12,satellite,"{'11': 0.0001764859288526116, 'eleven': 2.1722845905469714e-05, 'xi': 7.986379957482086e-06}"
13,satellite,"{'110': 2.0334587912963418e-05, 'cx': 2.3930294952403587e-07, 'one hundred ten': 2.3691015945441253e-08}"
14,satellite,"{'110th': 1.5016022705220554e-07, 'hundred-and-tenth': 9.684160409467043e-10}"
15,satellite,"{'one hundred fifteen': 1.4199163877007897e-08, 'cxv': 7.434189943192974e-08, '115': 1.548755001250136e-05}"
16,satellite,"{'hundred-and-fifteenth': 2.3235724880706792e-10, '115th': 9.626566404951994e-08}"
17,satellite,"{'11th': 1.2305674143419026e-05, 'eleventh': 5.594436047236974e-06}"
18,satellite,"{'12': 0.00021760144062985394, 'twelve': 5.8864557160407665e-05, 'dozen': 2.0365464988512998e-05, 'xii': 7.7224377564124e-06}"
19,satellite,"{'120th': 1.4817319569387857e-07, 'hundred-and-twentieth': 3.196815191548807e-09}"
20,satellite,"{'one hundred twenty-five': 4.636969412874311e-08, 'cxxv': 4.662715916265095e-08, '125': 1.926598651743325e-05}"
21,satellite,"{'12th': 1.5395594301590014e-05, 'twelfth': 6.9736884453754916e-06}"
22,satellite,"{'xiii': 6.318082072006754e-06, '13': 0.0001511614032953723, 'thirteen': 1.4479657917160125e-05}"
23,satellite,"{'130': 1.7934241683041877e-05, 'one hundred thirty': 9.831739017616773e-08, 'cxxx': 5.951379921382666e-08}"
24,satellite,"{'hundred-and-thirtieth': 5.48096067286778e-10, '130th': 8.466830265725717e-08}"
25,satellite,"{'cxxxv': 4.3552836606285564e-08, '135': 1.3801633937009488e-05, 'one hundred thirty-five': 1.2397252706339957e-08}"
26,satellite,"{'thirteenth': 5.5601971488371235e-06, '13th': 1.4152135026250173e-05}"
27,satellite,"{'xiv': 5.927240832274291e-06, '14': 0.00015616360842779435, 'fourteen': 2.0086799521348582e-05}"
28,satellite,"{'cxl': 4.2280067491441115e-08, '140': 1.758116113033139e-05, 'one hundred forty': 8.748419315309001e-08}"
29,satellite,"{'hundred-and-fortieth': 1.5196024907494206e-09, '140th': 6.628992880082248e-08}"
