,text,dict_val,enumerator
0,.22 caliber,1,0
1,.22 calibre,1,1
2,.22-caliber,1,2
3,.22-calibre,1,3
4,.38 caliber,2,4
5,.38 calibre,2,5
6,.38-caliber,2,6
7,.38-calibre,2,7
8,.45 caliber,3,8
9,.45-caliber,3,9
10,.45-calibre,3,10
11,.45 calibre,3,11
12,zero,4,12
13,0,4,13
14,1,5,14
15,ane,5,15
16,one,5,16
17,i,5,17
18,ten,6,18
19,10,6,19
20,x,6,20
21,10-membered,7,21
22,ten-membered,7,22
23,hundred,8,23
24,100,8,24
25,one hundred,8,25
26,c,8,26
27,101st,9,27
28,hundred-and-first,9,28
29,cv,10,29
30,one hundred five,10,30
31,105,10,31
32,105th,11,32
33,hundred-and-fifth,11,33
34,10th,12,34
35,tenth,12,35
36,11,13,36
37,eleven,13,37
38,xi,13,38
39,110,14,39
40,cx,14,40
41,one hundred ten,14,41
42,110th,15,42
43,hundred-and-tenth,15,43
44,one hundred fifteen,16,44
45,cxv,16,45
46,115,16,46
47,hundred-and-fifteenth,17,47
48,115th,17,48
49,11th,18,49
50,eleventh,18,50
51,12,19,51
52,twelve,19,52
53,dozen,19,53
54,xii,19,54
55,120th,20,55
56,hundred-and-twentieth,20,56
57,one hundred twenty-five,21,57
58,cxxv,21,58
59,125,21,59
60,12th,22,60
61,twelfth,22,61
62,xiii,23,62
63,13,23,63
64,thirteen,23,64
65,130,24,65
66,one hundred thirty,24,66
67,cxxx,24,67
68,hundred-and-thirtieth,25,68
69,130th,25,69
70,cxxxv,26,70
71,135,26,71
72,one hundred thirty-five,26,72
73,thirteenth,27,73
74,13th,27,74
75,xiv,28,75
76,14,28,76
77,fourteen,28,77
78,cxl,29,78
79,140,29,79
80,one hundred forty,29,80
81,hundred-and-fortieth,30,81
82,140th,30,82
83,cxlv,31,83
84,145,31,84
85,one hundred forty-five,31,85
86,14th,32,86
87,fourteenth,32,87
88,xv,33,88
89,fifteen,33,89
90,15,33,90
91,150,34,91
92,cl,34,92
93,one hundred fifty,34,93
94,hundred-and-fiftieth,35,94
95,150th,35,95
96,clv,36,96
97,155,36,97
98,one hundred fifty-five,36,98
99,fifteenth,37,99
100,15th,37,100
101,sixteen,38,101
102,16,38,102
103,xvi,38,103
104,160,39,104
105,one hundred sixty,39,105
106,clx,39,106
107,hundred-and-sixtieth,40,107
108,160th,40,108
109,clxv,41,109
110,165,41,110
111,one hundred sixty-five,41,111
112,16th,42,112
113,sixteenth,42,113
114,17,43,114
115,seventeen,43,115
116,xvii,43,116
117,clxx,44,117
118,one hundred seventy,44,118
119,170,44,119
120,hundred-and-seventieth,45,120
121,170th,45,121
122,one hundred seventy-five,46,122
123,175,46,123
124,clxxv,46,124
125,17th,47,125
126,seventeenth,47,126
127,18,48,127
128,eighteen,48,128
129,xviii,48,129
130,180,49,130
131,clxxx,49,131
132,one hundred eighty,49,132
133,hundred-and-eightieth,50,133
134,180th,50,134
135,eighteenth,51,135
136,18th,51,136
137,nineteen,52,137
138,19,52,138
139,xix,52,139
140,190,53,140
141,one hundred ninety,53,141
142,xcl,53,142
143,hundred-and-ninetieth,54,143
144,190th,54,144
145,nineteenth,55,145
146,19th,55,146
147,1st,56,147
148,first,56,148
149,2,57,149
150,two,57,150
151,ii,57,151
